Image#., Detector_Type, Descriptor_Type, Keypoints, Keypoints(Proceeding Vehical), (Detector)Elapsed_Time, (Descriptor)Elapsed_Time, Matches, MATCHER ELAPSED TIME
6, BRISK, BRISK, 2715, 289, 42.3588, 3.50267, 188, 2.34266
7, BRISK, BRISK, 2628, 272, 42.8847, 3.31473, 173, 2.58629
8, BRISK, BRISK, 2639, 266, 44.3308, 3.27844, 171, 2.39476
9, BRISK, BRISK, 2672, 254, 42.936, 3.03113, 184, 2.00072

0, BRISK, BRIEF, 2757, 264, 43.3176, 1.57228, 0, 0
1, BRISK, BRIEF, 2777, 282, 44.354, 1.70349, 178, 1.96321
2, BRISK, BRIEF, 2741, 282, 43.3317, 1.67751, 205, 2.04857
3, BRISK, BRIEF, 2735, 277, 42.4384, 1.52341, 185, 2.01963
4, BRISK, BRIEF, 2757, 297, 42.99, 1.605, 179, 2.05879
5, BRISK, BRIEF, 2695, 279, 42.2856, 1.51579, 183, 2.22319
6, BRISK, BRIEF, 2715, 289, 44.407, 1.78952, 195, 2.14209
7, BRISK, BRIEF, 2628, 272, 42.0009, 1.5607, 207, 2.0564
8, BRISK, BRIEF, 2639, 266, 42.7838, 1.77392, 189, 2.04693
9, BRISK, BRIEF, 2672, 254, 43.4832, 1.55068, 183, 1.78888

0, BRISK, ORB, 2757, 264, 43.345, 5.47724, 0, 0
1, BRISK, ORB, 2777, 282, 43.4032, 5.51668, 162, 1.9628
2, BRISK, ORB, 2741, 282, 43.9319, 5.70385, 175, 2.15557
3, BRISK, ORB, 2735, 277, 43.9479, 5.72953, 158, 2.07797
4, BRISK, ORB, 2757, 297, 43.7663, 5.63903, 167, 2.17433
5, BRISK, ORB, 2695, 279, 43.583, 5.84124, 160, 2.21091
6, BRISK, ORB, 2715, 289, 42.9918, 5.45453, 182, 2.09531
7, BRISK, ORB, 2628, 272, 42.0709, 5.53027, 167, 2.04625
8, BRISK, ORB, 2639, 266, 42.8979, 5.68757, 171, 2.09401
9, BRISK, ORB, 2672, 254, 43.6256, 5.53192, 172, 1.84157

0, BRISK, FREAK, 2757, 264, 44.5497, 48.8773, 0, 0
1, BRISK, FREAK, 2777, 282, 43.881, 47.9393, 160, 1.90782
2, BRISK, FREAK, 2741, 282, 43.7125, 47.8971, 177, 2.05764
3, BRISK, FREAK, 2735, 277, 43.3156, 46.7544, 155, 2.08512
4, BRISK, FREAK, 2757, 297, 44.5228, 47.2992, 173, 2.18597
5, BRISK, FREAK, 2695, 279, 43.5006, 46.8195, 161, 2.06394
6, BRISK, FREAK, 2715, 289, 42.9436, 47.2015, 183, 2.16504
7, BRISK, FREAK, 2628, 272, 42.6478, 46.6677, 169, 2.09477
8, BRISK, FREAK, 2639, 266, 44.1379, 46.8969, 178, 2.00662
9, BRISK, FREAK, 2672, 254, 45.6482, 47.3907, 168, 1.83266

0, BRISK, SIFT, 2757, 264, 43.3321, 65.2201, 0, 0
1, BRISK, SIFT, 2777, 282, 43.1048, 63.9793, 182, 3.50983
2, BRISK, SIFT, 2741, 282, 43.3162, 62.7257, 193, 3.65508
3, BRISK, SIFT, 2735, 277, 52.7882, 66.6712, 169, 3.69429
4, BRISK, SIFT, 2757, 297, 42.9518, 66.2486, 183, 3.81567
5, BRISK, SIFT, 2695, 279, 42.5219, 62.9951, 171, 3.77951
6, BRISK, SIFT, 2715, 289, 43.1198, 65.3727, 195, 3.73001
7, BRISK, SIFT, 2628, 272, 41.3779, 63.2688, 194, 3.62004
8, BRISK, SIFT, 2639, 266, 42.3446, 63.9912, 176, 3.392
9, BRISK, SIFT, 2672, 254, 43.5483, 63.2959, 183, 3.25248

0, ORB, BRISK, 500, 92, 9.75498, 1.21238, 0, 0
1, ORB, BRISK, 500, 102, 9.06542, 1.34505, 73, 0.409711
2, ORB, BRISK, 500, 106, 7.96777, 1.33753, 74, 0.471164
3, ORB, BRISK, 500, 113, 7.86462, 1.466, 79, 0.506421
4, ORB, BRISK, 500, 109, 7.81953, 1.50506, 85, 0.533115
5, ORB, BRISK, 500, 125, 7.85529, 1.66057, 79, 0.577641
6, ORB, BRISK, 500, 130, 8.40403, 1.70136, 92, 0.670334
7, ORB, BRISK, 500, 129, 7.93458, 1.76271, 90, 0.683897
8, ORB, BRISK, 500, 127, 8.01775, 1.75021, 88, 0.687177
9, ORB, BRISK, 500, 128, 8.11746, 1.65294, 91, 0.702404

0, ORB, BRIEF, 500, 92, 7.89043, 0.839241, 0, 0
1, ORB, BRIEF, 500, 102, 8.00201, 0.836727, 49, 0.55394
2, ORB, BRIEF, 500, 106, 8.23053, 0.85554, 43, 0.592129
3, ORB, BRIEF, 500, 113, 7.88679, 0.926368, 45, 0.608315
4, ORB, BRIEF, 500, 109, 7.77547, 0.939095, 59, 0.582441
5, ORB, BRIEF, 500, 125, 7.73458, 0.913771, 53, 0.613984
6, ORB, BRIEF, 500, 130, 8.13111, 0.92715, 78, 0.687822
7, ORB, BRIEF, 500, 129, 7.96109, 0.979597, 68, 0.723804
8, ORB, BRIEF, 500, 127, 7.91363, 0.898807, 84, 0.65607
9, ORB, BRIEF, 500, 128, 8.13318, 1.04978, 66, 0.730283

0, ORB, ORB, 500, 92, 8.01016, 5.22166, 0, 0
1, ORB, ORB, 500, 102, 8.16224, 5.49085, 67, 0.469222
2, ORB, ORB, 500, 106, 7.93341, 5.24238, 70, 0.524526
3, ORB, ORB, 500, 113, 7.7752, 5.21978, 72, 0.597011
4, ORB, ORB, 500, 109, 7.87291, 5.32814, 84, 0.583419
5, ORB, ORB, 500, 125, 7.76542, 5.35808, 91, 0.630474
6, ORB, ORB, 500, 130, 7.80308, 5.28856, 101, 0.664493
7, ORB, ORB, 500, 129, 7.93907, 5.29374, 92, 0.729923
8, ORB, ORB, 500, 127, 7.92904, 5.37692, 93, 0.683913
9, ORB, ORB, 500, 128, 8.31448, 5.68518, 93, 0.692129

0, ORB, FREAK, 500, 92, 8.05045, 47.3188, 0, 0
1, ORB, FREAK, 500, 102, 8.19584, 45.6043, 42, 0.193606
2, ORB, FREAK, 500, 106, 7.94299, 44.5355, 36, 0.256555
3, ORB, FREAK, 500, 113, 8.48812, 44.9785, 44, 0.26848
4, ORB, FREAK, 500, 109, 8.00661, 44.8704, 47, 0.25308
5, ORB, FREAK, 500, 125, 8.03741, 44.7265, 44, 0.243996
6, ORB, FREAK, 500, 130, 8.11527, 44.6849, 51, 0.294586
7, ORB, FREAK, 500, 129, 8.00935, 44.733, 52, 0.288505
8, ORB, FREAK, 500, 127, 7.96909, 44.729, 48, 0.319497
9, ORB, FREAK, 500, 128, 8.34519, 44.6493, 56, 0.323681

0, ORB, SIFT, 500, 92, 7.87429, 63.6288, 0, 0
1, ORB, SIFT, 500, 102, 7.9461, 65.8721, 67, 0.745328
2, ORB, SIFT, 500, 106, 7.90486, 71.4289, 79, 0.861725
3, ORB, SIFT, 500, 113, 7.87159, 73.426, 78, 0.896252
